id,lat,lon,z
022590-99999,63.049,17.769,10.4
022600-99999,63.133,18.25,143
022610-99999,64.55,18.717,211
022620-99999,66.567,16.35,500
022650-99999,63.65,18.55,183
022670-99999,63.408,18.99,107.9
022690-99999,63.183,19.017,11
022710-99999,64.933,19.383,310
022820-99999,64.567,19.7,258
022840-99999,63.433,19.683,7
022860-99999,63.792,20.283,7.3
022870-99999,63.8,20.867,8
022880-99999,63.6,20.75,6
022930-99999,64.625,21.077,47.9
022960-99999,64.483,21.583,36
022970-99999,64.483,21.583,43
023060-99999,61.133,12.817,465
023070-99999,61.883,12.85,869
023080-99999,62.45,12.667,724
023100-99999,62.8,13.067,583
023160-99999,61.7,13.183,425
023170-99999,62.1,13.617,566
023190-99999,62.75,13.85,467
023210-99999,61.25,14.033,253
023240-99999,62.017,14.183,363
023250-99999,62.5,14.15,803
023260-99999,64.083,18.417,300
023290-99999,61.667,15,455
023310-99999,62.75,15.083,343
023360-99999,61.383,15.833,163
023370-99999,62.267,15.667,320
023420-99999,62.517,16.183,105
023430-99999,62.5,16.283,100
023470-99999,61.833,16.55,72
023550-99999,61.7,17.533,10
023660-99999,62.528,17.444,4.9
023680-99999,62.217,17.75,18
023760-99999,61.267,17.1,36
023820-99999,62.65,18.1,18
024000-99999,60.35,12.65,310
024030-99999,58.7,13.117,53
024040-99999,59.667,12.583,75
024060-99999,59.283,12.05,110
024080-99999,59.217,12.083,171
024100-99999,60.683,13.7,308
024120-99999,60.15,13.8,190
024180-99999,59.445,13.337,107.3
024230-99999,59.867,13.117,109
024280-99999,59.1,14.367,105
024283-99999,59.224,15.038,57.3
024290-99999,59.667,14.183,133
024350-99999,60.422,15.515,153.3
024400-99999,60.967,16.433,162
024410-99999,60.967,14.5,197
024430-99999,59.65,17.117,26
024440-99999,60.167,16.317,70
024460-99999,59.589,16.634,6.4
024490-99999,59.383,16.45,15
024500-99999,60.733,17.567,4
024520-99999,59.3,14.9,219
024530-99999,60.717,17.167,16
024560-99999,60.233,17.9,35
024580-99999,59.897,17.589,20.7
024600-99999,59.652,17.919,41.8
024640-99999,59.354,17.942,14.3
024680-99999,60.383,15.133,493
024690-99999,59.183,17.917,54
024740-99999,60.167,18.75,14
024760-99999,59.05,16.4,33
024810-99999,59.917,16.683,58
024820-99999,60.267,16.983,57
024840-99999,59.35,18.067,44
024853-99999,58.789,16.912,42.7
024860-99999,59.367,17.517,6
024870-99999,59.35,18.733,22
024880-99999,60.533,18.383,9
024900-99999,59.833,18.633,16
024930-99999,59.75,19.417,15
024960-99999,59.45,19.5,12
025000-99999,58.9,11,35
025050-99999,58.1,11.333,16
025080-99999,58.1,11.35,14
025103-99999,58.318,12.345,41.8
025120-99999,57.775,11.87,18
025130-99999,57.717,12,2
025180-99999,57.3,11.9,2
025200-99999,58.426,12.714,55.2
025240-99999,57.933,13.067,190
025260-99999,57.663,12.28,154.2
025300-99999,58.9,13.25,50
025350-99999,58.456,13.973,98.8
025360-99999,57.783,13.167,299
025390-99999,57.117,12.783,122
025400-99999,58.6,12.2,174
025420-99999,58.317,13.033,71
025440-99999,58.517,14.517,94
025460-99999,58.883,14.383,212
025480-99999,58.1,14.417,95
025490-99999,57.5,14.467,356
