id,lat,lon,z
256270-99999,63.3,158.5,709
256560-99999,63.417,172.717,200
256770-99999,63.017,179.283,82
257030-99999,62.917,152.417,205
257050-99999,62.45,152.317,260
257440-99999,62.433,166.083,10
258160-99999,61.533,156.7,7
258210-99999,61.917,158.983,23
259020-99999,60.85,151.767,901
259130-99999,59.911,150.72,175
259190-99999,59.1,153.333,12.9
259220-99999,60.717,155.883,33.3
259270-99999,59.65,154.267,5
259320-99999,60.683,160.4,30
259410-99999,60.733,163.017,14
259540-99999,61.35,166,3.6
259560-99999,60.433,169.667,5
260290-99999,59.383,24.033,26
260380-99999,59.413,24.833,39.9
260450-99999,59.517,26.55,3
260460-99999,59.333,27.383,75
260580-99999,59.389,28.117,29.9
260590-99999,59.367,28.6,19
260630-99999,59.8,30.263,24.1
260635-99999,59.983,30.583,18
260780-99999,59.35,31.233,39
260940-99999,59.65,33.55,61
261148-99999,53.882,28.031,204.2
261150-99999,58.917,22.067,9
261160-99999,58.991,22.831,5.5
261161-99999,58.217,22.5,4
261280-99999,58.567,23.517,3
261340-99999,58.967,24.733,52
261350-99999,58.817,25.417,65
261410-99999,59.133,26.233,123
261440-99999,58.75,26.417,71
261670-99999,58.567,29.8,91
262140-99999,58.383,21.817,6
262180-99999,57.917,22.05,4
262260-99999,58.1,23.967,4
262270-99999,57.783,23.25,2
262290-99999,57.867,24.367,5
262310-99999,58.417,24.467,8
262330-99999,58.367,25.6,86
262420-99999,58.307,26.69,66.8
262470-99999,57.783,26.033,66
262490-99999,57.85,27.017,83
262580-99999,57.784,28.396,46.9
262750-99999,58.017,31.317,25
262980-99999,57.9,34.03,188
263130-99999,57.75,22.6,5
263240-99999,57.35,23.117,6
263480-99999,57.133,26.717,143
263590-99999,57.017,28.9,108
263780-99999,57.15,31.183,71
263890-99999,57.133,33.117,218
264030-99999,56.883,21.183,10
264050-99999,57.35,21.533,6
264060-99999,56.518,21.097,4.9
264160-99999,56.683,22.5,112
264220-99999,56.917,23.967,26
264770-99999,56.35,30.62,106
264980-99999,56.267,34.317,196
265020-99999,55.973,21.094,10.1
265021-99999,55.883,23.383,138
265090-99999,55.733,21.083,7.3
265180-99999,55.617,22.233,166
265240-99999,55.933,23.317,107
265310-99999,56.2,24.767,51.5
265440-99999,55.867,26.617,122
265540-99999,55.817,27.95,132
265850-99999,55.85,32.95,222
266290-99999,54.883,23.833,77
266295-99999,54.964,24.085,78
266330-99999,55.517,25.583,105.7
266430-99999,55.367,27.467,131
266450-99999,55.05,26.317,212
266530-99999,55.467,28.767,133
266570-99999,54.883,27.75,193
266590-99999,54.883,28.7,174
266660-99999,55.127,30.35,207.9
266661-99999,53.6,24.533,138
266950-99999,55.167,34.4,251
267020-99999,54.89,20.593,13.1
267300-99999,54.634,25.286,196.9
267590-99999,54.267,28.5,189
267630-99999,54.5,30.417,185
267810-99999,54.75,32.067,239
267950-99999,54.417,34.017,238
268250-99999,53.6,24.05,134
268320-99999,53.902,25.317,157
268500-99999,53.864,27.54,228
268530-99999,53.833,28.983,154
268550-99999,53.45,28.133,177
268630-99999,53.95,30.067,192
268640-99999,53.5,29.333,155
268780-99999,53.45,31.017,170
268820-99999,53.933,32.833,224
268870-99999,53.35,32.067,167
268980-99999,53.214,34.176,202.1
269410-99999,53.117,26,193
269510-99999,53.033,27.55,162
269610-99999,53.217,29.127,156
269660-99999,52.9,30.033,142
269970-99999,52.583,33.767,178
270370-99999,59.233,39.867,131
270510-99999,59.967,42.767,134
270660-99999,59.533,45.467,143
270830-99999,59.85,48.283,180
271130-99999,59.267,38.017,114
271960-99999,58.65,49.617,147
272170-99999,57.8,36.7,147
272250-99999,58.1,38.683,105
272420-99999,58.483,41.533,103
272520-99999,58.35,43.383,150
272710-99999,58.367,45.533,125
273160-99999,57.35,37.583,138
273290-99999,57.2,39.417,101
273330-99999,57.733,40.783,126
273470-99999,56.95,40.967,126
273550-99999,57.333,43.117,132
273690-99999,57.133,45.167,110
273730-99999,57.667,46.633,175
273930-99999,57.55,49.95,136
274020-99999,56.883,35.867,137
274590-99999,56.23,43.784,78
274790-99999,56.333,46.583,107
274850-99999,56.633,47.767,106
275155-99999,55.973,37.415,189.6
275185-99999,55.592,37.261,208.8
275320-99999,56.117,40.35,172
275390-99999,55.6,40.65,136
275530-99999,56.217,43.817,82
275770-99999,55.533,45.5,125
275950-99999,55.606,49.279,126.2
276070-99999,55.565,52.093,196
276120-99999,55.833,37.617,200
276270-99999,54.833,38.15,221
276480-99999,54.95,41.767,136
276530-99999,55.367,43.783,127
276650-99999,55.033,44.5,219
276790-99999,54.817,46.583,180
277030-99999,54.55,36.367,198.8
277070-99999,54.1,35.35,238
277190-99999,54.233,37.617,203
277310-99999,54.617,39.717,170
277520-99999,54.633,43.233,139
277600-99999,54.133,45.233,201
277860-99999,54.317,48.333,129
278230-99999,53.783,39.25,209
278480-99999,53.45,41.8,142
278570-99999,53.483,42.633,131
279060-99999,52.933,36,196
279280-99999,52.633,38.517,168
279300-99999,52.703,39.538,178.9
279470-99999,52.8,41.333,128
279620-99999,53.133,45.017,174
279621-99999,54.401,48.803,76.8
279830-99999,53.183,48.4,103
280090-99999,59.35,52.25,168
280440-99999,59.6,60.533,130
280490-99999,59.433,62.333,131
280640-99999,59.617,65.717,72
280660-99999,59.667,67.417,41
280760-99999,59.6,69.283,57
280870-99999,59.533,70.417,50
280970-99999,59.583,73.283,60.3
281160-99999,58.983,54.65,186
281310-99999,59.033,57.567,316
281440-99999,58.867,60.783,125
281650-99999,58.717,66.083,81.2
281720-99999,59.15,68.917,41
282140-99999,58.133,52.583,169
282160-99999,58.083,54.683,226
282240-99999,58,56.333,170.9
282250-99999,57.915,56.021,123.1
282400-99999,57.883,60.067,260
282550-99999,58.05,63.683,103
282750-99999,58.15,68.25,50
282780-99999,57.917,69.033,100
283190-99999,57.083,54.75,131
283210-99999,57.717,55.383,163
283340-99999,57.35,58.217,244
283660-99999,57.417,67.083,52.1
283670-99999,57.117,65.433,102
283820-99999,57.683,71.183,62
283830-99999,57.517,72.4,67
283960-99999,57.367,74.75,101
284110-99999,56.833,53.45,159
284190-99999,56.283,54.967,99.4
284280-99999,56.5,56.133,148
284340-99999,56.65,57.783,206
284400-99999,56.743,60.803,232.9
284510-99999,56.85,62.717,127
284650-99999,56.683,66.35,61
284690-99999,56.483,67.3,131
284810-99999,56.817,70.617,78
284910-99999,56.933,72.667,87
284930-99999,56.9,74.383,73
284935-99999,56.173,92.493,287.1
284980-99999,56.45,73.65,98
285060-99999,55.767,52.067,91
285220-99999,56.11,56.574,206.5
285370-99999,55.7,57.9,338
285410-99999,56.083,60.3,399
285520-99999,56.067,63.65,89
285730-99999,56.1,69.433,82
285860-99999,55.867,72.2,118
285880-99999,55.567,71.367,126
285930-99999,56.1,74.633,77
285980-99999,55.6,73.483,81
286150-99999,55.183,53.8,125
286210-99999,55.417,55.533,186
286370-99999,55,57.983,415
286420-99999,55.306,61.503,234.4
286550-99999,55.233,63.317,178
286610-99999,55.467,65.4,74
286660-99999,55.25,67.3,140
286730-99999,55.45,69.317,92
286790-99999,54.833,69.15,136
286880-99999,54.9,71.25,125
286960-99999,55.033,74.583,110
286980-99999,54.967,73.311,94.8
287110-99999,54.617,52.8,303
287220-99999,54.558,55.874,136.9
287480-99999,54.083,61.617,192
287560-99999,54.467,64.867,117
287660-99999,54.367,66.967,151
287850-99999,54.433,70.917,127
287860-99999,54.367,71.75,125
287910-99999,54.633,72.433,115
287970-99999,54.2,72.967,125
287990-99999,54.167,74.8,115
288070-99999,53.25,50.45,40
288250-99999,53.583,55.934,137
288380-99999,53.35,59.083,384
288670-99999,53.317,65.55,216
288770-99999,53.317,68.1,319
288790-99999,53.283,69.383,229
288860-99999,53.633,72.367,138
288950-99999,53.783,73.883,125
289000-99999,53.505,50.164,145.4
289090-99999,52.817,52.217,80
289250-99999,52.917,55.917,180
289520-99999,53.217,63.617,170
289570-99999,52.683,62.6,208
289660-99999,52.817,66.967,227
289780-99999,52.533,68.75,398
289840-99999,52.95,70.217,395
290230-99999,59.85,81.95,76
290370-99999,59.383,82.833,68
290680-99999,59.5,90.928,67
290750-99999,59.717,93.433,454
291030-99999,59.067,76.733,69
291110-99999,59.217,78.233,69
291220-99999,59.05,80.833,57
291280-99999,58.7,81.5,63
291490-99999,58.633,86.733,105
292030-99999,58.583,76.517,80
292090-99999,57.8,77.217,99
292240-99999,58.133,80.583,80
292310-99999,58.317,82.95,75
292410-99999,58.383,84.6,81
292470-99999,57.75,85.2,90
292530-99999,58.45,89.467,133
292630-99999,58.45,92.15,78
292740-99999,58.083,93,90
292760-99999,58.183,94.75,161.1
292820-99999,58.383,97.45,133
292890-99999,57.85,97.4,378
293130-99999,57.533,79.431,97
293280-99999,57,82.067,110
293320-99999,57.583,83.783,114
293480-99999,57.067,86.217,114
293550-99999,57.45,88.467,140
293560-99999,57.367,89.317,150
293630-99999,57.633,92.267,179
293670-99999,56.967,90.683,180.6
293760-99999,57.217,94.917,147
293790-99999,57.2,94.55,168
293930-99999,57.65,99.533,220.5
294010-99999,56.95,75.3,90
294050-99999,56.6,76.567,116
294070-99999,56.383,75.25,87
294180-99999,56.35,78.35,126
294300-99999,56.5,84.917,139
294560-99999,56.533,89.317,205
294670-99999,56.283,90.517,257.2
294710-99999,56.9,93.133,180
294770-99999,56.5,93.283,164
294810-99999,56.85,95.217,188
294830-99999,56.767,96.8,257
295240-99999,55.85,80.033,129
295320-99999,56.25,84,113
295340-99999,55.983,82.7,127
295390-99999,55.667,84.4,193
295400-99999,56.117,86,259
295410-99999,56.067,85.617,251
295480-99999,55.717,86.3,208
295510-99999,56.183,87.683,144
295530-99999,56.217,89.55,290
295570-99999,55.75,88.317,211
295620-99999,56.1,91.667,332
295700-99999,56.067,92.733,234.6
295740-99999,56,92.883,277
295760-99999,55.817,94.3,375
295780-99999,55.717,93.75,399.2
295810-99999,56.2,95.633,207
295830-99999,56.117,97.317,338
295870-99999,55.633,95.467,252
295900-99999,56.15,99.3,265
295940-99999,55.95,98,307
296020-99999,55.3,76.75,111
296050-99999,55.2,76.019,112
296120-99999,55.333,78.308,120
296130-99999,55.3,79.617,140
296250-99999,55.1,80.967,140
296260-99999,55.017,82.233,159
296310-99999,55.3,82.75,137
296340-99999,55.013,82.651,111.3
296360-99999,55.233,84.4,173
296380-99999,54.9,82.95,133
296420-99999,55.27,86.107,263
296490-99999,55,86.8,151
296530-99999,55.3,89.817,387
296540-99999,55.217,87.65,495
296640-99999,55.083,90.85,325.3
296750-99999,55.083,93.367,477
296760-99999,55.25,94.883,337
296980-99999,54.883,99.033,410
297010-99999,54.667,75.1,111
297020-99999,54.717,76.717,111
297060-99999,54.367,77.283,115
297120-99999,54.7,78.667,113
297220-99999,54.667,81.05,175
297240-99999,54.333,80.467,160
297260-99999,54.367,81.883,132
297350-99999,54.3,83.314,293
297360-99999,54.333,84.217,198
297450-99999,54.45,86.367,226
297560-99999,54.5,89.933,475
297590-99999,54.333,89.283,847
297660-99999,54.367,92.133,282
297720-99999,54.367,93.433,479.3
297890-99999,54.217,96.967,984
298020-99999,53.817,76.533,114
298070-99999,53.35,75.45,94
298130-99999,53.967,79.233,144
298140-99999,53.733,78.017,115
298220-99999,53.817,81.267,129
298270-99999,53.267,80.767,122
298320-99999,53.817,83.583,144
298360-99999,53.75,84.95,221
298370-99999,53.4,82.6,170
298380-99999,53.364,83.539,255.1
298460-99999,53.733,87.183,308
298480-99999,53.467,85.917,272
298490-99999,53.333,87.167,293
298540-99999,53.683,88.05,242
298580-99999,53.283,89.167,527
298640-99999,53.717,90.367,525
298650-99999,53.75,91.4,245
298690-99999,53.3,92.417,298
298700-99999,53.883,92.667,284
298760-99999,53.683,94.2,446.1
298920-99999,53.95,98.817,705
298940-99999,53.633,98.217,918
299150-99999,52.967,78.65,126
299230-99999,53.067,82.3,219
299250-99999,52.833,80.95,165
299370-99999,52.517,82.767,175
299390-99999,52.667,84.917,225
299460-99999,52.867,87.283,354
299550-99999,52.817,88.45,416
299560-99999,52.8,89.917,455
299620-99999,53.05,90.917,469
299730-99999,53.133,94.467,765
299740-99999,52.8,93.233,1398.5
299990-99999,52.5,99.817,1570
300140-99999,59.75,103.3,277
300280-99999,59.283,106.167,352
300370-99999,59.25,108.233,323
300540-99999,59.45,112.583,190
300740-99999,59.933,117.6,163.8
300890-99999,59.017,121.767,175
301170-99999,58.2,102.75,401
301270-99999,58.233,105.733,438.8
301360-99999,58.55,109.767,234
301510-99999,58.85,112.9,203
301570-99999,58.317,112.867,224
301650-99999,58.417,116.017,422.5
302300-99999,57.767,108.067,258
302460-99999,57.667,111.667,332
302520-99999,57.817,114.017,249
302530-99999,57.85,114.2,278
302550-99999,57.8,114.083,532
302630-99999,57.833,117.667,562
303090-99999,56.371,101.698,490.7
303170-99999,56.2,102.833,427
303200-99999,56.867,105.7,669
303280-99999,56.05,105.833,338
303370-99999,56.317,107.617,362
303560-99999,56.367,114.633,516
303720-99999,56.9,118.267,711
303790-99999,56,119.45,996
303850-99999,56.583,121.483,426
303930-99999,56.833,124.867,859
304050-99999,55.383,101.033,423
304130-99999,55.833,104.233,331
304240-99999,55.483,105.483,372
304320-99999,55.717,109.067,676
304330-99999,55.783,109.55,487
304390-99999,55.117,109.75,465
304550-99999,55.467,113.617,1097
304610-99999,55.8,115.433,830
304690-99999,55.117,116.767,613
304930-99999,55.967,124.883,861
304990-99999,55.183,124.667,528
305040-99999,54.6,100.633,522
305070-99999,54.183,100.083,527
305210-99999,54.8,105.167,418
305260-99999,54.483,107.067,650.8
305360-99999,54.35,109.517,469
305370-99999,54.033,108.267,464
305470-99999,54.317,110.317,509
305540-99999,54.483,113.583,995
305670-99999,54.05,115.017,738
306030-99999,53.933,102.05,458
306120-99999,54,103.067,427
306170-99999,53.167,103.083,598
306200-99999,53.1,106.817,464
306220-99999,53.967,105.9,533
306270-99999,53.1,105.533,762
306320-99999,53.85,108.6,460
306350-99999,53.417,109.017,461
306370-99999,53.317,107.733,461.6
306380-99999,53.267,108.75,475
306490-99999,53.183,111.717,973
306500-99999,53.2,112.783,923
306510-99999,53.917,113.417,935
306640-99999,53.533,115.617,811
306690-99999,53.067,117.483,708
306730-99999,53.75,119.733,625
306750-99999,53.55,118.717,582
306790-99999,53.1,119.217,384
306830-99999,53.967,121.933,522
306860-99999,53.467,122.4,295
306920-99999,54,123.967,398
306950-99999,53.467,123.9,266
307030-99999,52.967,101.983,543
307100-99999,52.268,104.389,510.5
307120-99999,52.783,103.683,437.4
307140-99999,52.1,102.7,755.9
307260-99999,52.567,107.133,461
307270-99999,52.033,105.4,461
307290-99999,52.05,106.65,467
307310-99999,52.983,108.283,487
307390-99999,52.167,109.783,666.1
307410-99999,52.767,109.967,1286
307450-99999,52.533,111.55,952
307510-99999,52.733,113.267,929
307570-99999,52.117,112.667,968
307580-99999,52.026,113.306,692.5
307640-99999,52.65,115.167,646
307660-99999,52.533,117,539
307680-99999,52,116.533,482
307720-99999,52.7,118.8,407
307770-99999,52.233,117.7,525
307810-99999,52.75,120.033,370
308020-99999,51.683,100.983,1304
308060-99999,51.683,102.167,758
308110-99999,51.733,102.533,721
308120-99999,51.65,103.667,471
308140-99999,51.733,103.7,472
308150-99999,51.533,103.6,1442
308220-99999,51.717,105.85,467
308230-99999,51.808,107.438,515.1
308240-99999,51.567,105.117,472
308290-99999,51.1,106.65,556
308370-99999,51.017,107.833,733
308380-99999,51.317,108.867,806
308430-99999,51.733,112,907
308440-99999,51.35,110.467,802
308460-99999,51.35,112.467,743
308490-99999,51.05,111.767,817
308530-99999,51.633,114.317,616
308560-99999,51.483,114.533,877
308580-99999,51.2,113.717,805
308590-99999,51.1,114.517,681
308620-99999,51.867,116.033,597
308660-99999,51.583,116.633,649
308750-99999,51.583,118.467,698
308790-99999,51.317,119.617,619
309110-99999,50.733,102.833,1170
309150-99999,50.417,103.617,989
309160-99999,50.517,104.833,733
309240-99999,50.633,105.317,684
309250-99999,50.367,106.45,797
309350-99999,50.367,108.75,771
309380-99999,49.433,108.9,940
309440-99999,50.567,110.2,885
309480-99999,50.017,111.183,1234
309490-99999,49.567,111.967,908
309570-99999,50.267,113.267,732
309610-99999,50.95,115.583,640
309640-99999,50.5,114.817,679
309650-99999,50.4,116.517,676
309670-99999,49.9,115.75,623
309690-99999,49.733,117.267,736
309710-99999,50.917,117.933,807
309720-99999,50.883,118.583,694
309750-99999,50.333,119.067,521.1
309780-99999,49.833,118.383,550
310040-99999,58.617,125.367,679
310050-99999,58.967,126.267,283.5
310110-99999,59.667,127.05,278.4
310160-99999,58.633,128.5,230.6
310410-99999,59.633,133.033,179.4
310540-99999,59.183,135.15,212
310830-99999,59.967,144.783,121
310870-99999,58.817,141.85,5
310880-99999,59.367,143.2,6
310930-99999,59.717,150.2,8
310970-99999,59.183,146.333,17
311230-99999,57.767,130.9,255
311370-99999,56.283,131.133,850
311520-99999,57.65,136.15,318
311580-99999,56.65,136.35,496
311630-99999,57.767,140.183,10
311680-99999,56.45,138.15,8
311740-99999,54.833,137.533,21
311990-99999,55.033,126.8,448
312350-99999,55.483,134.333,318
312530-99999,54.717,128.867,364
312630-99999,54.733,130.45,464
312850-99999,54.5,134.417,62
312860-99999,54.717,135.317,5
312950-99999,53.467,125.817,370
313000-99999,53.7,127.3,229
313110-99999,53.967,129.067,405
313180-99999,53.35,130.017,319.3
313250-99999,53.517,132.917,442
313290-99999,53.067,132.933,543
313380-99999,53.133,133.967,682
313460-99999,53.85,136.867,52
313480-99999,53.05,136.033,153
313620-99999,54.283,139.783,9
313640-99999,53.567,139.65,128
313690-99999,53.15,140.7,68
313710-99999,52.783,126,210
313840-99999,52.567,129.067,246
313880-99999,52.35,129.917,208
313970-99999,52.45,130.867,267
314160-99999,52.417,136.5,73
314180-99999,52.283,135.8,201
314210-99999,52.7,137.533,60
314370-99999,52.167,139.067,220
314390-99999,52.383,140.467,35
314410-99999,51.9,126.583,159
314420-99999,51.983,127.65,281
314440-99999,51.583,126.75,173
314450-99999,51.45,128.117,197
314590-99999,51.35,130.433,261
314740-99999,51.633,133.267,384
314780-99999,52.267,133.983,902
314820-99999,51.717,135.933,132
314840-99999,51.417,135.083,269
314890-99999,51.2,136.8,92
315040-99999,51.35,139.1,63
315100-99999,50.283,127.483,169.2
315130-99999,50.917,128.467,178
315210-99999,50.783,129.333,227
315270-99999,50.117,129.467,241
315320-99999,50.867,132.25,272
315340-99999,50.433,131.017,230
315380-99999,50.067,132.133,347
315610-99999,50.533,137.033,22
315620-99999,50.933,138.2,60
315730-99999,50.733,140.433,5
315770-99999,50.183,139.017,697
315870-99999,49.617,128.65,115
315940-99999,49.417,130.083,135
316240-99999,49.4,133.233,198
316320-99999,49.933,134.633,283
316510-99999,49.967,136.067,28
316550-99999,49.45,136.567,29
316770-99999,49.017,138.75,894
316830-99999,49.65,140.083,58
317020-99999,49,131.083,257
317050-99999,48.517,130.733,116
317070-99999,47.733,130.967,73
317100-99999,47.95,132.617,56
317130-99999,48.733,132.95,80
317250-99999,48.617,133.833,52
317350-99999,48.528,135.188,75
317540-99999,48.6,137.05,403
317660-99999,48.65,138.983,382
317700-99999,49,140.3,23.8
317860-99999,47.55,134.817,89
318010-99999,47.667,136.183,180
318230-99999,47.967,139.533,3
318250-99999,47.6,138.4,165
318290-99999,47.317,138.983,26
318320-99999,46.8,134.267,68
318450-99999,46.533,135.317,130
318510-99999,46.683,136.267,244
318660-99999,46.533,138.333,4
318690-99999,46.033,137.883,10
318730-99999,45.867,133.733,101
318780-99999,45.1,133.5,97.7
318950-99999,45.267,135.5,335
319090-99999,45,136.6,68
319130-99999,45.217,131.983,88
319150-99999,44.4,131.383,211
319170-99999,44.033,131.317,109
319210-99999,44.717,132.067,78
319390-99999,44.15,133.867,259
319420-99999,44.75,134.467,170
319590-99999,44.367,135.85,34
319600-99999,43.117,131.933,183
319690-99999,42.65,130.8,35
319741-99999,43.399,132.148,14
319810-99999,43.967,133.067,188
319870-99999,43.15,133.017,208
319890-99999,42.9,133.9,43
319930-99999,43.983,134.683,234
320040-99999,53.25,141.917,4
320100-99999,53.5,142.9,38
320120-99999,54.417,142.717,77
320270-99999,52.217,141.633,6
320360-99999,52.367,143.183,6
320530-99999,51.917,143.133,34
320590-99999,51.1,143.55,15
320610-99999,50.9,142.167,31
320690-99999,50.05,142.167,4
320760-99999,50.4,143.767,8
320880-99999,49.067,142.033,43
320980-99999,49.217,143.1,8
320990-99999,48.65,144.733,6
321210-99999,47.983,142.2,18
321280-99999,47.05,142.05,44
321450-99999,46.617,141.95,6
321500-99999,46.889,142.718,18
321560-99999,46.633,142.85,34
321580-99999,46.217,143.45,21
321650-99999,44.017,145.867,49
321740-99999,45.267,147.967,38
321860-99999,46.2,150.5,76
321950-99999,46.85,151.867,25
322070-99999,48.067,153.217,58
322130-99999,50.867,156.683,47
322150-99999,50.683,156.133,23
322170-99999,50,155.383,16
322270-99999,59.117,159.967,19
322520-99999,58.5,159.167,7
322870-99999,57.083,156.7,8
323330-99999,57.65,163.233,9.1
323890-99999,56.317,160.833,29
324080-99999,56.217,162.717,27
324110-99999,55.583,155.583,6
324470-99999,55.117,159.067,100
324770-99999,54.3,155.933,14
325090-99999,54.117,159.983,27
325190-99999,54.617,161.2,15.9
325400-99999,53.168,158.454,39.9
325640-99999,52.667,156.233,6
325830-99999,52.867,158.65,24
325940-99999,51.483,156.483,28
325960-99999,51.783,158.033,18
326180-99999,55.2,165.983,18
330003-99999,48.043,33.21,124.4
330004-99999,48.357,35.101,146.6
330005-99999,48.883,24.683,287
330080-99999,52.108,23.898,142.6
330190-99999,52.117,26.117,142
330270-99999,52.217,27.867,137
330360-99999,52.036,29.167,190
330410-99999,52.527,31.017,143.9
330490-99999,52.183,32.583,161
330880-99999,51.283,26.617,156
331240-99999,51.817,30.248,116
331350-99999,51.467,31.25,141
331770-99999,50.833,24.317,194
332310-99999,51.283,30.233,127
332460-99999,51.05,31.9,126
332610-99999,51.233,33.2,149
332750-99999,50.85,34.667,181
333010-99999,50.607,26.142,230.1
333012-99999,47.05,31.917,58
333170-99999,50.167,27.033,278
333250-99999,50.233,28.733,224
333450-99999,50.402,30.451,178.6
333451-99999,50.603,30.192,157.6
333460-99999,50.35,30.917,125
333470-99999,50.345,30.895,130.1
333560-99999,50.217,31.8,128
333620-99999,50.583,32.383,133
333760-99999,50.367,33.983,154
333770-99999,50,33.017,158
333930-99999,49.813,23.956,326.4
334150-99999,49.533,25.667,329
334290-99999,49.433,26.983,350
334660-99999,49.667,31,153
334870-99999,49.417,32.05,107
334950-99999,49.617,33.267,96
335060-99999,49.6,34.55,160
335260-99999,48.967,24.4,280
335620-99999,49.233,28.6,298
335870-99999,48.767,30.233,216
336050-99999,49.083,32.667,124
336090-99999,48.717,32.667,181
336140-99999,49.05,33.25,84
336150-99999,49.033,33.433,80
336210-99999,49.15,34.2,118
336310-99999,48.633,22.267,124
336580-99999,48.367,25.9,246
336630-99999,48.45,27.783,78
337110-99999,48.517,32.2,171
337170-99999,48.067,32.15,143
337230-99999,48.433,33.9,118
337450-99999,47.783,27.95,102
337610-99999,47.85,30.267,183
337770-99999,47.567,31.333,34
337880-99999,47.417,32.467,84
337910-99999,48.033,33.217,124
338150-99999,47.017,28.983,173
338370-99999,46.427,30.676,52.4
338387-99999,46.928,28.931,121.6
338620-99999,47.317,33.283,56
338690-99999,46.783,33.367,25
338830-99999,46.3,28.633,133
338890-99999,45.367,28.85,30
339020-99999,46.633,32.567,54
339100-99999,46.167,34.817,15
339240-99999,45.517,32.7,10
339340-99999,45.717,34.4,8
339460-99999,44.683,34.133,181
339760-99999,45.033,35.383,26
339830-99999,45.4,36.417,49
339900-99999,44.483,34.167,72
340030-99999,52.317,36.3,251
340090-99999,51.767,36.167,247
340130-99999,52.433,37.6,179
340470-99999,51.833,41.483,147
341220-99999,51.814,39.23,156.7
341230-99999,51.7,39.217,149
341520-99999,51.55,43.15,159
341720-99999,51.565,46.047,152.1
341860-99999,51.367,48.3,111
342380-99999,51.483,40.417,154
342400-99999,50.8,42,110
342470-99999,50.417,41.05,92
342620-99999,50.833,44.567,114
342670-99999,50.367,44.117,102
343000-99999,49.925,36.29,154.8
343020-99999,50.2,35.533,203
343190-99999,49.633,37.7,83
343210-99999,50.217,38.1,112
343360-99999,49.933,40.567,84
343560-99999,49.8,43.667,119
343570-99999,49.567,42.75,200
343630-99999,50.067,45.367,119
343730-99999,50.05,46.883,37
343910-99999,50.15,48.55,25
343980-99999,49.667,49.483,10
344010-99999,49.383,35.45,159
344070-99999,48.8,35.25,127
344090-99999,48.9,36.317,177
344150-99999,49.183,37.3,78
344220-99999,49.283,38.917,64
344320-99999,49.383,40.167,145
344380-99999,48.933,40.383,155
344450-99999,49.217,41.833,91
344760-99999,49.133,46.85,6
344990-99999,48.967,49.617,-2
345040-99999,48.6,34.967,143
345090-99999,48.133,36.233,175
345100-99999,48.6,37.983,124
345190-99999,48.067,37.767,225
345230-99999,48.567,39.25,62
345350-99999,48.3,40.3,51
345450-99999,48.35,41.867,90
345550-99999,48.333,43.117,68
345600-99999,48.783,44.346,146.9
345790-99999,48.217,46.733,34
345810-99999,48.767,47.433,4
346010-99999,47.867,35.316,113.7
346070-99999,47.267,35.333,88
346090-99999,47.333,36.333,221
346460-99999,47.633,42.117,65
346550-99999,47.633,43.15,49
346910-99999,47.9,48.8,-10
347120-99999,47.033,37.5,70
347200-99999,47.2,38.9,32
347310-99999,47.25,39.817,78
347470-99999,46.55,41.05,112
347590-99999,46.567,43.667,106
347980-99999,46.6,49.267,-23
348240-99999,46.033,38.15,5
348380-99999,45.85,40.083,78
348580-99999,45.917,43.35,87
348610-99999,46.367,44.333,152.7
348660-99999,46.183,45.35,-7
348800-99999,46.283,47.983,-21.6
349220-99999,45.633,38.933,22
349290-99999,45.033,39.15,34
349360-99999,45.433,40.567,106
349490-99999,45.109,42.113,452.9
349540-99999,45.35,42.85,140
350260-99999,52.217,57.452,521
350370-99999,51.867,58.183,341
350420-99999,52.3,61.317,279
350530-99999,52.467,64.667,110
350670-99999,51.883,66.333,221
350780-99999,51.817,68.367,304
350850-99999,52,70.95,384
351080-99999,51.151,51.543,38.1
351210-99999,51.796,55.457,118
351330-99999,51.533,59.983,285
351570-99999,51.083,62.7,230
351730-99999,51.617,69.8,305
351880-99999,51.022,71.467,355.1
351910-99999,51.633,73.167,397
352170-99999,50.25,52.567,32
352290-99999,50.246,57.207,224.9
353020-99999,50.2,51.167,17
353210-99999,50.133,55.7,142
353440-99999,49.95,60.133,229
353450-99999,49.983,61.483,221
353580-99999,49.635,63.482,132.8
353610-99999,50.133,65.233,142
353630-99999,50.217,66.833,343
353680-99999,49.75,66.15,229
353760-99999,49.883,69.517,349
353860-99999,49.95,71.583,422
353940-99999,49.671,73.334,538
353946-99999,40.147,44.396,865
354060-99999,49.05,51.867,2
354160-99999,49.067,54.683,128
354260-99999,49.15,57.117,234
354300-99999,49.25,59.55,260
354590-99999,48.817,64.617,122
354970-99999,48.85,72.867,656
355140-99999,48.45,52.917,0
355290-99999,48.217,57.117,151
355320-99999,48.633,58.5,398
355420-99999,48.617,61.267,114
355490-99999,48.25,62,74
355760-99999,48.3,69.65,361.1
355820-99999,48.7,71.633,488
356050-99999,47.667,51.583,-15
356330-99999,47.85,59.617,176
356630-99999,47.833,66.75,508
356710-99999,47.8,67.717,346
356830-99999,47.85,72.083,810
356990-99999,47.45,74.817,620
357000-99999,47.117,51.917,-22
357150-99999,46.8,53.917,18
357290-99999,46.633,57.333,44
357390-99999,46.717,59.167,114
357460-99999,46.783,61.667,56
357560-99999,46.883,64.667,79
357770-99999,46.583,68.617,276
357910-99999,47.2,73.35,581
